window,start_year,end_year,country,series,survey,common_quarters,n_common_quarters,workers_0,workers_1,mean_income_0_usd_2017_ppp,mean_income_1_usd_2017_ppp,change_usd_2017_ppp,education_component_usd_2017_ppp,within_income_component_usd_2017_ppp,residual_usd_2017_ppp,percent_change,education_contribution_percent_initial,within_income_contribution_percent_initial,income_reconstruction_error_0,income_reconstruction_error_1,worker_reconstruction_error_0,worker_reconstruction_error_1,max_abs_period_income_error,max_abs_period_worker_error,midpoint_workers
2016-2019,2016,2019,Mexico,1,ENOE,"Q1,Q2,Q3,Q4",4,50792943.0,54497483.0,640.2002740877803,636.9981070786334,-3.2021670091468195,10.604405965930125,-13.806572975076927,-1.7763568394002505e-14,-0.5001820740719893,1.6564200915159426,-2.156602165587929,0.04187708973010807,0.03908231703112205,-0.0009246271696839362,-0.0012426398262573085,0.0441426804102674,0.0013342301183318667,52645213.0
2016-2019,2016,2019,Peru (Lima and Callao),1,EPE,"Q1,Q2,Q3,Q4",4,4767503.0,4906159.5,925.9744889305784,901.3270488505317,-24.64744008004675,3.4506507806945956,-28.098090860741422,7.815970093361102e-14,-2.6617839232819946,0.3726507395122519,-3.0344346627942547,-0.0056441193100474395,-0.007205374152269346,0.0,0.0,0.00791873261765509,0.0,4836831.25
2016-2019,2016,2019,Uruguay,1,ECH,"Q1,Q2,Q3,Q4",4,1644791.0,1624916.75,1127.191756764233,1137.7852334588833,10.593476694650235,29.111542191512555,-18.51806549686226,-6.039613253960852e-14,0.9398114057416762,2.582661026113378,-1.6428496203716965,-0.0007290905955208974,-0.0007243075176930656,-0.0009511910235750812,-0.0006503793033622765,0.0010136394311471254,0.0011345669614100838,1634853.875
2016-2023,2016,2023,Argentina,1,EPHC-S2,"Q2,Q3,Q4",3,11413410.666666666,13335403.333333332,1252.5932205278282,960.2041742419491,-292.3890462858791,34.987936011986775,-327.37698229786594,5.684341886080802e-14,-23.3426974930193,2.7932400909245914,-26.1359375839439,-0.00043035521669501745,-0.000630353172327159,1.6319794350963718e-16,-1.3967670138443184e-16,0.0007443837160149969,0.0,12374407.0
2016-2023,2016,2023,Bolivia,1,ECE,"Q1,Q2,Q3,Q4",4,4814483.5,6580995.75,985.9641655589846,934.1456516781675,-51.818513880817136,32.584592932754916,-84.40310681357204,-1.4210854715202004e-14,-5.255618377513653,3.3048455583861243,-8.560463935899776,-0.01583308379059027,-0.0153819719508573,-0.0005256885448215526,0.0,0.017695119638583518,0.0018630240276027623,5697739.625
2016-2023,2016,2023,Brazil,2,PNADC,"Q1,Q2,Q3,Q4",4,90212756.0,99281778.5,885.0741775691899,928.6892349500971,43.61505738090716,86.0434317000321,-42.42837431912497,2.842170943040401e-14,4.9278420370023275,9.72160683032759,-4.793764793325265,-0.00642067262422755,-0.0035844059525833465,0.0,0.0,0.0072645533103978255,0.0,94747267.25
2016-2023,2016,2023,Chile,2,NENE,Q4,1,8231331.0,9283492.0,1160.387392221258,1277.7985366066994,117.41114438544128,203.1800880905578,-85.76894370511658,5.684341886080802e-14,10.118271292200818,17.509677324365157,-7.391406032164342,-0.011426655119050826,-0.010149092410954155,-0.0037634225105314103,-0.000821751763806479,0.011426655119050826,0.0037634225105314103,8757411.5
2016-2023,2016,2023,Costa Rica,1,ECE,"Q1,Q2,Q3,Q4",4,1994233.0,2091924.75,1309.3617456686356,1185.182916331001,-124.17882933763462,79.26480035989755,-203.44362969753223,5.684341886080802e-14,-9.483920677262628,6.053697583735377,-15.53761826099801,-0.018094292241686648,-0.0017730924007716019,-0.0006066320594895321,-0.0009645671124521209,0.022621549123796297,0.0018957373349533912,2043078.875
2016-2023,2016,2023,Dominican Republic,1,ECFNT,"Q1,Q2,Q3,Q4",4,4260119.25,4838086.75,779.2192208293229,803.4709134659482,24.251692636625307,20.849957563142187,3.4017350734830067,1.1368683772161603e-13,3.112306779447026,2.6757499052643468,0.43655687418266464,-0.0013084743203231597,-0.0012509088764869375,-0.0009309725946151687,-0.0002496231501501329,0.0018305481905535896,0.001212954568115364,4549103.0
2016-2023,2016,2023,El Salvador,1,EHPM,"Q1,Q2,Q3,Q4",4,2640149.25,2951568.25,627.76707313043,725.0604658811463,97.2933927507163,21.819407662912276,75.47398508780407,-5.684341886080802e-14,15.498326834115721,3.4757171245231744,12.022609709592553,-0.007150960970552837,-0.0024813901362477167,0.0,-7.284210144719469e-06,0.008611583032499292,2.8299443652681586e-05,2795858.75
