window,start_year,end_year,country,series,survey,education,education_label,common_quarters,share_0,share_1,income_0_usd_2017_ppp,income_1_usd_2017_ppp,education_component_usd_2017_ppp,within_income_component_usd_2017_ppp
2016-2019,2016,2019,Ecuador,1,ENEMDU,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.4407674489711485,0.408754100588094,584.0533166001825,585.4607133050401,-18.72003003911294,0.5978069147776258
2016-2019,2016,2019,Ecuador,1,ENEMDU,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.3756426238915463,0.39643992336021094,799.6798939825342,794.6367201389289,16.578740035875768,-1.9468732537020865
2016-2019,2016,2019,Ecuador,1,ENEMDU,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.1835899271373052,0.19480597605169506,1563.7640340569947,1538.688693496189,17.398630773409355,-4.7442030696389175
2016-2019,2016,2019,El Salvador,1,EHPM,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.7000344772175285,0.6784839813908022,496.35861881224145,559.705407492545,-11.379351695818539,43.66235874467983
2016-2019,2016,2019,El Salvador,1,EHPM,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.24008178704291055,0.24782503633754063,806.0379729960515,869.5189260590264,6.4871273883603955,15.486395077059802
2016-2019,2016,2019,El Salvador,1,EHPM,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.059883735739560934,0.07369098227165709,1449.206347010158,1539.1060379314995,20.630182906902842,6.004162932056924
2016-2019,2016,2019,Guatemala,1,ENEI,Educational attainment - low,Low,Q4,0.7214468940518772,0.683907398287293,453.9,456.2,-17.08234754767407,1.6161574361900537
2016-2019,2016,2019,Guatemala,1,ENEI,Educational attainment - middle,Middle,Q4,0.2312754683711173,0.2627890569818482,907.3999999999999,808.3,27.03393198971549,-24.480897231239418
2016-2019,2016,2019,Guatemala,1,ENEI,Educational attainment - high,High,Q4,0.047277637577005455,0.05330354473085885,1526.4,1508.5,9.14401281061483,-0.9002015816553901
2016-2019,2016,2019,Mexico,1,ENOE,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.6188383787881714,0.5876505342457743,488.97464028176455,500.9196924588941,-15.436335281457781,7.205786508659383
